id,YearDT,target_name,predictions,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,Year
lotka-volterra,1936-12-31T00:00:00.000000000,Lynx,32668.693,26021.566,28834.4,30366.777,31549.242,32668.693,34018.164,35458.773,37439.684,40594.953,1936
lotka-volterra,1937-12-31T00:00:00.000000000,Lynx,23372.855,15309.856,18450.32,20291.066,21839.637,23372.855,25081.174,27030.896,29664.234,33869.02,1937
lotka-volterra,1938-12-31T00:00:00.000000000,Lynx,11669.525,6495.1016,8301.203,9396.643,10458.66,11669.525,13117.453,15088.746,18219.742,23186.145,1938
lotka-volterra,1939-12-31T00:00:00.000000000,Lynx,6652.199,2909.2969,4263.158,5058.5625,5903.74,6652.199,7651.5176,8630.059,10454.16,14219.971,1939
lotka-volterra,1940-12-31T00:00:00.000000000,Lynx,6491.3535,2520.4219,3852.795,4902.295,5789.8945,6491.3535,7372.965,8700.971,11248.818,15863.366,1940
lotka-volterra,1941-12-31T00:00:00.000000000,Lynx,11639.945,4958.164,6774.373,8333.398,10043.195,11639.945,13658.232,16736.803,21572.213,28573.28,1941
lotka-volterra,1942-12-31T00:00:00.000000000,Lynx,26859.365,11149.793,15544.459,19571.09,23452.324,26859.365,30184.377,33887.28,39309.816,48227.68,1942
lotka-volterra,1943-12-31T00:00:00.000000000,Lynx,42131.793,21982.346,29118.494,34215.19,38501.008,42131.793,45884.67,50087.438,55901.152,64359.918,1943
lotka-volterra,1944-12-31T00:00:00.000000000,Lynx,52764.664,29049.193,37830.41,44026.0,48716.477,52764.664,56594.586,60565.312,65716.44,74016.49,1944
lotka-volterra,1945-12-31T00:00:00.000000000,Lynx,53616.168,27239.035,37052.99,43719.918,49041.973,53616.168,57668.715,62163.137,67897.44,76983.984,1945
lotka-volterra,1946-12-31T00:00:00.000000000,Lynx,46742.484,20145.973,29744.129,36553.543,42164.35,46742.484,51291.71,56238.227,62025.17,70839.75,1946
lotka-volterra,1947-12-31T00:00:00.000000000,Lynx,32835.35,12700.067,19103.746,24021.0,28573.275,32835.35,37299.867,42279.45,48238.65,56746.74,1947
lotka-volterra,1948-12-31T00:00:00.000000000,Lynx,18951.695,6293.8555,9514.238,12351.717,15546.633,18951.695,22616.176,26779.13,32115.855,40536.086,1948
lotka-volterra,1949-12-31T00:00:00.000000000,Lynx,11377.889,3733.2344,5754.748,7333.8535,9121.729,11377.889,14199.875,17603.184,22274.916,30319.19,1949
lotka-volterra,1950-12-31T00:00:00.000000000,Lynx,11158.391,3620.2285,5593.459,7319.0977,9134.756,11158.391,13830.068,17367.703,22526.982,31149.916,1950
lotka-volterra,1951-12-31T00:00:00.000000000,Lynx,19732.816,7246.373,10559.832,13552.758,16572.969,19732.816,23181.416,26937.596,31788.404,40147.395,1951
lotka-volterra,1952-12-31T00:00:00.000000000,Lynx,33963.938,20242.916,25150.45,28422.541,31281.643,33963.938,36674.375,39549.88,43506.617,49913.203,1952
lotka-volterra,1953-12-31T00:00:00.000000000,Lynx,42161.67,28172.05,33499.13,36871.266,39556.598,42161.67,44896.867,47867.96,52025.492,58618.652,1953
lotka-volterra,1954-12-31T00:00:00.000000000,Lynx,43815.57,28735.898,34612.027,38299.188,41098.125,43815.57,46692.18,49814.586,53998.43,60050.656,1954
lotka-volterra,1955-12-31T00:00:00.000000000,Lynx,36602.344,22142.465,27687.062,31246.586,33990.89,36602.344,39393.22,42489.203,46739.992,53417.016,1955
lotka-volterra,1956-12-31T00:00:00.000000000,Lynx,27632.973,13278.696,17916.176,21452.008,24618.578,27632.973,30659.469,33994.527,38407.758,45377.652,1956
lotka-volterra,1957-12-31T00:00:00.000000000,Lynx,16338.112,6646.045,9225.107,11480.68,13829.751,16338.112,19138.508,22704.95,27852.184,35647.55,1957
lotka-volterra,1958-12-31T00:00:00.000000000,Lynx,9819.613,4032.541,5958.367,7267.0117,8444.789,9819.613,12116.508,15497.63,20187.744,27003.184,1958
lotka-volterra,1959-12-31T00:00:00.000000000,Lynx,9064.303,3693.1152,5407.9023,6694.8633,7800.4395,9064.303,10892.3125,13344.503,17259.477,24198.781,1959
lotka-volterra,1960-12-31T00:00:00.000000000,Lynx,11761.02,5239.576,7393.5176,8906.752,10318.979,11761.02,13911.34,17160.49,22214.09,30288.648,1960
lotka-volterra,1961-12-31T00:00:00.000000000,Lynx,24396.367,10211.537,14755.106,18468.805,21613.082,24396.367,27409.646,30853.863,35662.176,43766.887,1961
lotka-volterra,1962-12-31T00:00:00.000000000,Lynx,41030.09,20702.318,28647.621,33804.81,37729.8,41030.09,44295.145,47843.484,52444.555,60488.523,1962
lotka-volterra,1963-12-31T00:00:00.000000000,Lynx,54448.6,30766.697,40879.453,46935.773,50856.492,54448.6,58066.043,62034.766,66576.73,74295.72,1963
lotka-volterra,1964-12-31T00:00:00.000000000,Lynx,56968.273,30996.428,41989.1,48689.996,53025.406,56968.273,60965.9,65090.996,69921.72,78017.734,1964
lotka-volterra,1965-12-31T00:00:00.000000000,Lynx,48681.92,23597.512,32519.69,39026.062,44262.64,48681.92,53039.438,57717.977,63430.44,72067.055,1965
lotka-volterra,1966-12-31T00:00:00.000000000,Lynx,33821.984,11842.365,18675.52,24415.504,29584.314,33821.984,38039.72,42703.305,48750.41,57625.062,1966
lotka-volterra,1967-12-31T00:00:00.000000000,Lynx,17938.574,4313.3555,8182.252,11291.217,14555.3955,17938.574,21610.332,25823.717,31631.172,40723.4,1967
lotka-volterra,1968-12-31T00:00:00.000000000,Lynx,12609.057,4949.666,6897.76,8548.975,10386.621,12609.057,15316.754,19135.492,25173.242,35868.895,1968
lotka-volterra,1969-12-31T00:00:00.000000000,Lynx,11638.283,3681.9023,5694.34,7464.865,9500.9,11638.283,14189.478,17812.89,23333.48,33127.402,1969
lotka-volterra,1970-12-31T00:00:00.000000000,Lynx,15394.233,5792.2207,8217.977,10404.52,12767.5205,15394.233,18275.896,21848.57,27028.996,36157.746,1970
lotka-volterra,1971-12-31T00:00:00.000000000,Lynx,25442.305,12396.334,16369.514,19396.668,22366.225,25442.305,28405.469,31545.56,35701.45,43120.797,1971
lotka-volterra,1972-12-31T00:00:00.000000000,Lynx,36123.234,21426.012,27226.895,30632.293,33388.56,36123.234,39017.992,41930.977,45645.855,52316.367,1972
lotka-volterra,1973-12-31T00:00:00.000000000,Lynx,44314.805,28443.893,34987.46,38676.133,41552.688,44314.805,47056.688,49889.562,53892.42,60972.766,1973
lotka-volterra,1974-12-31T00:00:00.000000000,Lynx,48285.3,30698.445,38360.45,42511.562,45541.945,48285.3,51023.758,53851.984,57641.58,64339.992,1974
lotka-volterra,1975-12-31T00:00:00.000000000,Lynx,44399.703,26991.562,34575.055,38624.047,41637.887,44399.703,47406.066,50643.33,54763.535,61660.4,1975
lotka-volterra,1976-12-31T00:00:00.000000000,Lynx,32671.816,17431.664,23290.861,27006.857,29980.164,32671.816,35585.703,38757.73,42826.76,49185.992,1976
lotka-volterra,1977-12-31T00:00:00.000000000,Lynx,17281.793,7631.633,10478.639,12795.92,15037.145,17281.793,19971.613,23089.729,27030.645,32931.45,1977
lotka-volterra,1978-12-31T00:00:00.000000000,Lynx,8452.951,3284.2383,5180.7656,6398.797,7425.498,8452.951,9713.869,11533.053,14520.471,19789.29,1978
lotka-volterra,1979-12-31T00:00:00.000000000,Lynx,6969.1406,2209.1484,3906.2676,5000.949,5962.4883,6969.1406,8084.2734,9380.568,11434.666,15737.091,1979
lotka-volterra,1980-12-31T00:00:00.000000000,Lynx,9518.74,4722.4453,6396.6523,7452.67,8429.297,9518.74,10973.068,13165.183,16374.357,21549.7,1980
