Year,chosen_quantile,target_name
1936,0.1,Hare
1937,0.2,Hare
1938,0.3,Hare
1939,0.4,Hare
1940,0.5,Hare
1941,0.6,Hare
1942,0.7,Hare
1943,0.8,Hare
1944,0.7,Hare
1945,0.6,Hare
1946,0.5,Hare
1947,0.4,Hare
1948,0.3,Hare
1949,0.2,Hare
1950,0.3,Hare
1951,0.4,Hare
1952,0.5,Hare
1953,0.6,Hare
1954,0.7,Hare
1955,0.8,Hare
1956,0.9,Hare
1957,0.6,Hare
1958,0.6,Hare
1959,0.6,Hare
1960,0.4,Hare
1961,0.1,Hare
1962,0.2,Hare
1963,0.3,Hare
1964,0.5,Hare
1965,0.6,Hare
1966,0.7,Hare
1967,0.9,Hare
1968,0.9,Hare
1969,0.5,Hare
1970,0.5,Hare
1971,0.4,Hare
1972,0.4,Hare
1973,0.4,Hare
1974,0.4,Hare
1975,0.4,Hare
1976,0.5,Hare
1977,0.6,Hare
1978,0.8,Hare
1979,0.7,Hare
1980,0.6,Hare
1981,0.5,Hare
1982,0.3,Hare
1983,0.3,Hare
1984,0.2,Hare
1985,0.1,Hare
1986,0.5,Hare
1987,0.8,Hare
1988,0.7,Hare
1989,0.7,Hare
1990,0.5,Hare
1991,0.7,Hare
1992,0.9,Hare
1993,0.9,Hare
1994,0.8,Hare
1995,0.5,Hare
1996,0.3,Hare
1997,0.2,Hare
1998,0.2,Hare
1999,0.1,Hare
2000,0.4,Hare
2001,0.5,Hare
2002,0.6,Hare
2003,0.7,Hare
2004,0.7,Hare
2005,0.9,Hare
2006,0.9,Hare
2007,0.5,Hare
2008,0.5,Hare
2009,0.2,Hare
2010,0.2,Hare
2011,0.2,Hare
2012,0.2,Hare
2013,0.3,Hare
2014,0.3,Hare
2015,0.7,Hare
2016,0.7,Hare
2017,0.9,Hare
2018,0.6,Hare
2019,0.8,Hare
2020,0.6,Hare
2021,0.6,Hare
2022,0.4,Hare
2023,0.1,Hare
2024,0.1,Hare
2025,0.3,Hare
