Year,chosen_quantile,target_name
1936,0.8,Lynx
1937,0.8,Lynx
1938,0.7,Lynx
1939,0.3,Lynx
1940,0.3,Lynx
1941,0.2,Lynx
1942,0.5,Lynx
1943,0.5,Lynx
1944,0.7,Lynx
1945,0.7,Lynx
1946,0.8,Lynx
1947,0.5,Lynx
1948,0.4,Lynx
1949,0.4,Lynx
1950,0.1,Lynx
1951,0.1,Lynx
1952,0.3,Lynx
1953,0.5,Lynx
1954,0.7,Lynx
1955,0.6,Lynx
1956,0.5,Lynx
1957,0.4,Lynx
1958,0.3,Lynx
1959,0.2,Lynx
1960,0.1,Lynx
1961,0.2,Lynx
1962,0.5,Lynx
1963,0.8,Lynx
1964,0.9,Lynx
1965,0.8,Lynx
1966,0.6,Lynx
1967,0.7,Lynx
1968,0.6,Lynx
1969,0.6,Lynx
1970,0.6,Lynx
1971,0.5,Lynx
1972,0.5,Lynx
1973,0.4,Lynx
1974,0.5,Lynx
1975,0.5,Lynx
1976,0.6,Lynx
1977,0.7,Lynx
1978,0.4,Lynx
1979,0.7,Lynx
1980,0.5,Lynx
1981,0.2,Lynx
1982,0.2,Lynx
1983,0.6,Lynx
1984,0.8,Lynx
1985,0.3,Lynx
1986,0.8,Lynx
1987,0.7,Lynx
1988,0.4,Lynx
1989,0.2,Lynx
1990,0.1,Lynx
1991,0.2,Lynx
1992,0.3,Lynx
1993,0.6,Lynx
1994,0.9,Lynx
1995,0.8,Lynx
1996,0.6,Lynx
1997,0.5,Lynx
1998,0.5,Lynx
1999,0.4,Lynx
2000,0.5,Lynx
2001,0.5,Lynx
2002,0.9,Lynx
2003,0.9,Lynx
2004,0.9,Lynx
2005,0.9,Lynx
2006,0.4,Lynx
2007,0.7,Lynx
2008,0.6,Lynx
2009,0.6,Lynx
2010,0.7,Lynx
2011,0.5,Lynx
2012,0.4,Lynx
2013,0.5,Lynx
2014,0.5,Lynx
2015,0.6,Lynx
2016,0.4,Lynx
2017,0.4,Lynx
2018,0.5,Lynx
2019,0.5,Lynx
2020,0.5,Lynx
2021,0.5,Lynx
2022,0.5,Lynx
2023,0.5,Lynx
2024,0.5,Lynx
2025,0.4,Lynx
